"TOA5","CR1000","CR1000","85255","CR1000.Std.31.03","CPU:L18038-ZJhangzhou20180603+G1.CR1","17749","BSRN1000_Day"
"TIMESTAMP","RECORD","Global_Energy_Tot","Direct_Energy_Tot","Diffuse_Energy_Tot","Global_Max","Direct_Max","Diffuse_Max","WS_ms_Avg","WS_ms_Max","WS_ms_Min","WDir_Avg","WDir_Max","WDir_Min","AirTemp_C_Avg","AirTemp_C_Max","AirTemp_C_Min","RH_Avg","RH_Max","RH_Min","Press_Avg","Press_Max","Press_Min","T110PV_Temp_C_Avg","T110PV_Temp_C_Max","T110PV_Temp_C_Min","T110PV_Temp_C1_Avg","T110PV_Temp_C1_Max","T110PV_Temp_C1_Min","T110PV_Temp_C2_Avg","T110PV_Temp_C2_Max","T110PV_Temp_C2_Min","T110PV_Temp_C3_Avg","T110PV_Temp_C3_Max","T110PV_Temp_C3_Min","T110PV_Temp_C4_Avg","T110PV_Temp_C4_Max","T110PV_Temp_C4_Min","Sun_Time_Tot"
"TS","RN","kWh/m^2","kWh/m^2","kWh/m^2","W/m^2","W/m^2","W/m^2","m/s","m/s","m/s","Deg","Deg","Deg","Deg C","Deg C","Deg C","%","%","%","hPa","hPa","hPa","Deg C","Deg C","Deg C","","","","","","","","","","","","","Hr"
"","","Tot","Tot","Tot","Max","Max","Max","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Tot"
"2020-01-04 00:00:00",0,0.166,0.001,0.166,82.4,0.372,82.7,0.844,2.82,0,176.8,358.9,0.025,9,9.49,0,95.9,99.1,0,1022,1023,0,10.6,11.73,9.61,9.4,9.9,9.12,9.21,9.97,8.71,9.24,10.7,8.6,9.17,11.23,8.52,0
"2020-01-05 00:00:00",1,0.288,0.003,0.288,107,0.372,107.4,1.372,4.999,0,176.3,359.1,0,9.15,9.63,8.71,98.6,99.4,94.2,1022,1023,1020,10.42,12.7,9.49,9.51,10.85,8.97,9.9,11.57,8.79,9.47,11.82,8.64,9.32,11.84,8.6,0
"2020-01-06 00:00:00",2,1.378,0.248,1.275,434.2,216,377.8,0.956,4.218,0,191.7,359.2,0.025,10.83,14.12,8.98,95.4,99.4,82.7,1020,1022,1017,13.25,28.47,9.37,11.95,23.4,9.12,12.19,23.5,8.6,11.93,24.46,8,12.31,29.56,6.981,1.233
"2020-01-07 00:00:00",3,3.155,3.55,1.145,584.3,664.5,229.9,1.039,6.561,0,171.4,359.3,0.025,15.22,24.75,8.77,81.9,99.4,49.83,1014,1017,1010,20.14,45.67,9.01,20.01,44.12,8.91,17.95,38.59,8.23,18.04,41.44,7.792,18.63,46.35,6.735,7.065
"2020-01-08 00:00:00",4,1.264,0.673,1.005,571.3,551.2,430.9,1.522,8.45,0,206.9,358.9,0.049,11.62,16.64,6.187,85.8,98.4,71.53,1011,1020,1006,13.07,31.44,5.841,12.97,34.35,5.466,11.89,27.46,5.018,11.95,29.74,4.301,11.49,31.18,2.489,1.715
"2020-01-09 00:00:00",5,3.253,2.969,1.742,721,557.4,411.2,2.269,10.46,0,177.8,358.7,0.049,6.205,9.56,4.289,65.07,80.2,50.85,1023,1026,1020,11.18,30.73,4.849,10.02,27.61,3.393,8.21,24.1,2.875,8.4,26.29,1.554,8.33,32.41,0.222,7.539
"2020-01-10 00:00:00",6,0.378,0.002,0.379,102.5,0.372,103.2,1.324,4.382,0,181.8,358.6,0,4.948,6.458,3.95,82.7,98,66.35,1021,1024,1018,7.565,10.34,4.85,5.33,7.297,3.129,5.243,7.85,2.758,5.122,8.63,1.254,4.958,8.79,0.223,0
"2020-01-11 00:00:00",7,0.229,0.001,0.229,86.3,0.372,86.3,1.127,5.944,0,222.5,358.8,0.049,6.657,7.956,4.827,99.1,99.3,98,1016,1019,1014,8.44,10.25,6.989,7.183,8.47,5.466,7.167,8.84,5.088,6.914,9.06,4.928,6.933,9.72,4.808,0
"2020-01-12 00:00:00",8,0.402,0.003,0.402,100.6,0.372,100.3,1.811,8.33,0,209.3,359.1,0,6.201,7.276,5.368,96.2,99.3,80.7,1017,1020,1015,7.979,9.81,6.346,6.7,7.635,5.732,7.432,8.6,6.5,6.588,8.5,5.197,6.412,8.42,4.978,0
"2020-01-13 00:00:00",9,2.591,1.297,1.865,773,641.3,386.5,1.702,6.93,0,175.5,359.1,0,6.43,9.8,4.286,71.21,87.3,47.45,1020,1022,1018,11.51,35.26,5.605,9.76,31.06,4.055,9.44,27.76,4.25,9.23,31.9,2.682,9.74,38.37,1.651,2.886
"2020-01-14 00:00:00",10,1.719,0.055,1.7,693.1,423.8,512.9,1.47,5.615,0,169.1,358.6,0,6.241,8.91,3.339,71.3,90.2,55.21,1019,1021,1017,9.73,21.64,3.406,7.388,16.38,2.202,7.329,16.84,1.29,7.404,18.96,0.11,7.719,22.95,-1.284,0.108
"2020-01-15 00:00:00",11,1.96,0.249,1.861,524.7,214.5,461.9,1.945,6.889,0,172.9,358.4,0.025,6.388,8.71,4.691,69.78,83.2,52.79,1022,1024,1020,9.75,19.9,5.497,7.957,17.67,4.137,7.422,16.07,3.381,7.542,18.67,2.328,7.822,21.08,1.838,0.466
"2020-01-16 00:00:00",12,0.301,0,0.302,76.63,0.372,77.1,1.591,4.382,0,158.2,358.7,0,4.695,5.645,3.74,88.1,99.1,68.94,1022,1024,1019,7.061,7.882,5.625,4.92,5.673,3.849,5.023,5.772,3.693,4.927,6.133,2.489,4.77,5.889,1.991,0
"2020-01-17 00:00:00",13,0.267,0.003,0.267,79.21,0.372,79.21,1.842,6.684,0,221.8,359,0,5.361,6.052,4.416,98,99.2,92,1020,1023,1018,7.051,8.76,5.929,5.582,6.72,4.565,5.586,6.835,4.454,5.627,7.582,4.27,5.546,7.685,4.127,0
"2020-01-18 00:00:00",14,1.122,0.005,1.126,257,1.117,258,1.45,6.191,0,228.1,359.1,0,4.941,6.594,4.148,84.6,95.5,73.6,1023,1024,1021,7.929,14.13,5.763,5.868,10.24,4.25,5.736,11.18,4.086,5.945,12.64,3.807,6.369,15.37,3.548,0
"2020-01-19 00:00:00",15,0.94,0.004,0.944,189.1,1.117,190.5,1.549,4.917,0,156.9,358.8,0,4.638,5.674,3.875,71.56,81.6,61.17,1021,1024,1020,7.87,12.44,5.861,5.353,8.44,3.973,5.484,8.87,3.963,5.656,10.46,3.569,5.848,12.86,3.38,0
"2020-01-20 00:00:00",16,3.089,2.316,1.843,797.9,579.4,439,0.988,5.081,0,200.5,358.6,0,6.711,11.6,3.941,68.68,86,44.62,1020,1022,1018,12.25,33.27,4.332,10.44,28.65,3.612,9.19,25.75,2.403,9.06,26.6,1.553,9.93,35.47,0.589,5.739
"2020-01-21 00:00:00",17,3.475,3.079,1.733,608.1,546,244.7,1.148,5.122,0,189.5,358.4,0.049,7.305,13.78,2.521,67.4,90.6,37.77,1022,1024,1020,13.17,39.16,2.44,11.97,33.65,1.323,9.79,30.94,0.272,9.42,32.28,-0.744,10.13,37.35,-1.428,7.963
